title,company,salary,city,category,subcategory,minimumsalary,maximumsalary
UNİVERSAL USTA,Sinteks,700 AZN,Bakı,Xidmət ,Digər,700,
TUR MENECERİ,AXIS TRAVEL,500 - 800 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,800
SÜRÜCÜ KÖMƏKÇİSİ,UNİTRADE group MMC,400 AZN,Bakı,Xidmət ,Sürücü,400,
КООРДИНАТОР ТУРИСТИЧЕСКИХ УСЛУГ (OPERATİONS MANAGER),Victory Tour,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
SÜRÜCÜ,Sirab Satış və Dağıtım MMC,900 - 1000 AZN,Bakı,Xidmət ,Sürücü,900,1000
MEBEL MONTAJ USTASI,DOĞTAŞ MMC,700 - 800 AZN,Bakı,Xidmət ,Digər,700,800
SÜRÜCÜ,Megamart.az,700 AZN,Bakı,Xidmət ,Sürücü,700,
ANBAR FƏHLƏSİ,Mirzəoğlu MMC,500 AZN,Bakı,Xidmət ,Anbardar,500,
FƏHLƏ,Palıd-2015,700 - 800 AZN,Bakı,Xidmət ,Fəhlə,700,800
YÜKLƏYİCİ (GECƏ NÖVBƏSİ),Mars Overseas Baku LTD MMM,500 - 600 AZN,Sumqayıt,Xidmət ,Fəhlə,500,600
OTAQ XİDMƏTÇİSİ,Badamadar Hotel&Residences,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
İSTEHSALAT ÜZRƏ FƏHLƏ,Mr.Fix tikinti kimyəviləri,600 AZN,Bakı,Xidmət ,Fəhlə,600,
ХОСТЕС,Vasilchuki Chaihona N1,600 - 800 AZN,Bakı,Xidmət ,Restoran işi,600,800
ПИЦЦАМЕН,Vapiano Baku,400 - 500 AZN,Bakı,Xidmət ,Restoran işi,400,500
TƏMİZLİKÇİ,"""Healthfit"" idman mərkəzi",400 AZN,Bakı,Xidmət ,Xadimə,400,
XADİMƏ,Callisto Hotel,500 - 600 AZN,Bakı,Xidmət ,Xadimə,500,600
KONDİSİONER USTASI,ServisHome,600 - 800 AZN,Bakı,Xidmət ,Digər,600,800
XADİMƏ,BAKU PILATES,400 AZN,Bakı,Xidmət ,Xadimə,400,
YÜK MAŞINI SÜRÜCÜSÜ,Fərdi sahibkar İsmayılov Xalid Fazil oğlu,600 - 700 AZN,Bakı,Xidmət ,Sürücü,600,700
RESEPŞN,GOLDEN HORN APART HOTEL,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
ANBARDA FƏHLƏ,Horeca MMC,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
OFİSİANT,Beat Group,400 - 500 AZN,Bakı,Xidmət ,Restoran işi,400,500
XADİMƏ,"""Konfirom"" MMC",400 AZN,Bakı,Xidmət ,Xadimə,400,
TEXNİKİ İSTİSMAR ÜZRƏ MÜTƏXƏSSİS,Pizza Mizza,700 - 800 AZN,Bakı,Xidmət ,Restoran işi,700,800
OFİSİANT,Sahil Hotel Baku,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
SÜRÜCÜ,Sahil Transport MMC,1500 - 2000 AZN,Bakı,Xidmət ,Sürücü,1500,2000
MOTO-KURYER,189 Taxi,1100 - 1200 AZN,Bakı,Xidmət ,Kuryer,1100,1200
МЕНЕДЖЕР ПО ТУРИЗМУ,Azterra MMC,500 - 800 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,800
OFİSİANT,Shah Restaurant & Gallery,500 - 600 AZN,Bakı,Xidmət ,Restoran işi,500,600
GÖZƏTÇİ,Giləzi,400 - 500 AZN,Xızı,Xidmət ,Mühafizə xidməti,400,500
XADİMƏ,Zeytun Phamaceuticals MMC,—,Bakı,Xidmət ,Xadimə,,
ПОВАР,United Coffee Beans,400 - 500 AZN,Bakı,Xidmət ,Restoran işi,400,500
